idx,name_ko,recommendation
1,아마레티,"[{'id': 40, 'title': '코코넛 플레이버 오버 아이스'}, {'id': 44, 'title': '에스페란사 데 콜롬비아'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 14, 'title': '인피니트 에스프레소'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 115, 'title': '아이스 레제로'}, {'id': 126, 'title': '페퍼민트 핀휠 리미티드 에디션'}, {'id': 137, 'title': 'Tropical Coconut Flavor Over Ice'}]"
2,부케엘라 카 에티오피아,"[{'id': 36, 'title': '카라멜로'}, {'id': 68, 'title': '노치올라'}, {'id': 38, 'title': '초콜라티노'}, {'id': 86, 'title': '바닐라'}, {'id': 136, 'title': 'Toccanto'}, {'id': 29, 'title': '부에노스 아이레스 롱고'}, {'id': 85, 'title': '우무티마와 호수 키부 르완다'}, {'id': 116, 'title': '이니지오'}, {'id': 19, 'title': '로사바야 데 콜롬비아'}, {'id': 45, 'title': '에티오피아'}]"
3,카페 이스탄불,"[{'id': 31, 'title': '까페시또 데 푸에르토리코'}, {'id': 65, 'title': '밀레니오'}, {'id': 66, 'title': '니카라과'}, {'id': 141, 'title': 'Whiskey Essence'}, {'id': 76, 'title': '디카페인 리스트레또'}, {'id': 13, 'title': '인드리야'}, {'id': 75, 'title': '리스트레또'}, {'id': 151, 'title': 'Intenso, Decaf (espresso)'}, {'id': 150, 'title': 'Intenso (Alto)'}, {'id': 56, 'title': '이스탄불 에스프레소'}]"
4,카라멜리또,"[{'id': 5, 'title': '초콜라티노'}, {'id': 7, 'title': '브라질 둘세오'}, {'id': 144, 'title': 'Decaffeinato'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 140, 'title': 'Voltesso'}, {'id': 62, 'title': '리반토'}, {'id': 21, 'title': '바닐리오'}, {'id': 151, 'title': 'Intenso, Decaf (espresso)'}, {'id': 150, 'title': 'Intenso (Alto)'}, {'id': 1, 'title': '아마레티'}]"
5,초콜라티노,"[{'id': 4, 'title': '카라멜리또'}, {'id': 7, 'title': '브라질 둘세오'}, {'id': 144, 'title': 'Decaffeinato'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 140, 'title': 'Voltesso'}, {'id': 62, 'title': '리반토'}, {'id': 21, 'title': '바닐리오'}, {'id': 151, 'title': 'Intenso, Decaf (espresso)'}, {'id': 150, 'title': 'Intenso (Alto)'}, {'id': 1, 'title': '아마레티'}]"
6,다르칸,"[{'id': 53, 'title': '일 카페'}, {'id': 54, 'title': '인디아'}, {'id': 59, 'title': '카자아르'}, {'id': 67, 'title': '나폴리'}, {'id': 63, 'title': '마이애미'}, {'id': 69, 'title': '노베첸토'}, {'id': 8, 'title': '엔비보 롱고'}, {'id': 18, 'title': '파리 블랙'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 32, 'title': '까페지뇨 두 브라질'}]"
7,브라질 둘세오,"[{'id': 4, 'title': '카라멜리또'}, {'id': 5, 'title': '초콜라티노'}, {'id': 144, 'title': 'Decaffeinato'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 140, 'title': 'Voltesso'}, {'id': 62, 'title': '리반토'}, {'id': 21, 'title': '바닐리오'}, {'id': 151, 'title': 'Intenso, Decaf (espresso)'}, {'id': 150, 'title': 'Intenso (Alto)'}, {'id': 1, 'title': '아마레티'}]"
8,엔비보 롱고,"[{'id': 69, 'title': '노베첸토'}, {'id': 32, 'title': '까페지뇨 두 브라질'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 103, 'title': '디아볼리토'}, {'id': 133, 'title': 'Stormio Boost'}, {'id': 67, 'title': '나폴리'}, {'id': 108, 'title': '디카페인 포르타도'}, {'id': 59, 'title': '카자아르'}, {'id': 107, 'title': '포르타도'}, {'id': 132, 'title': 'Stormio'}]"
9,포레스트 아몬드 플레이버,"[{'id': 1, 'title': '아마레티'}, {'id': 40, 'title': '코코넛 플레이버 오버 아이스'}, {'id': 44, 'title': '에스페란사 데 콜롬비아'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 14, 'title': '인피니트 에스프레소'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 115, 'title': '아이스 레제로'}, {'id': 126, 'title': '페퍼민트 핀휠 리미티드 에디션'}]"
10,포레스트 블랙,"[{'id': 13, 'title': '인드리야'}, {'id': 75, 'title': '리스트레또'}, {'id': 76, 'title': '디카페인 리스트레또'}, {'id': 26, 'title': '아르페지오'}, {'id': 71, 'title': '파리 에스프레소'}, {'id': 27, 'title': '디카페인 아르페지오'}, {'id': 25, 'title': '아마하 아웨 우간다'}, {'id': 64, 'title': '밀라노 인텐소'}, {'id': 52, 'title': '온두로스'}, {'id': 80, 'title': '스톡홀름 포티시오 롱고'}]"
11,포레스트 프룻,"[{'id': 4, 'title': '카라멜리또'}, {'id': 5, 'title': '초콜라티노'}, {'id': 7, 'title': '브라질 둘세오'}, {'id': 144, 'title': 'Decaffeinato'}, {'id': 140, 'title': 'Voltesso'}, {'id': 62, 'title': '리반토'}, {'id': 21, 'title': '바닐리오'}, {'id': 151, 'title': 'Intenso, Decaf (espresso)'}, {'id': 150, 'title': 'Intenso (Alto)'}, {'id': 1, 'title': '아마레티'}]"
12,포르티시오 롱고,"[{'id': 80, 'title': '스톡홀름 포티시오 롱고'}, {'id': 64, 'title': '밀라노 인텐소'}, {'id': 57, 'title': '재마이카 블루 마운틴'}, {'id': 50, 'title': '갈라파고스 스페셜 리저브'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 89, 'title': '비엔나 리니지오 롱고'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 55, 'title': '인도네시아'}, {'id': 27, 'title': '디카페인 아르페지오'}, {'id': 26, 'title': '아르페지오'}]"
13,인드리야,"[{'id': 75, 'title': '리스트레또'}, {'id': 76, 'title': '디카페인 리스트레또'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 65, 'title': '밀레니오'}, {'id': 71, 'title': '파리 에스프레소'}, {'id': 141, 'title': 'Whiskey Essence'}, {'id': 66, 'title': '니카라과'}, {'id': 27, 'title': '디카페인 아르페지오'}, {'id': 151, 'title': 'Intenso, Decaf (espresso)'}, {'id': 26, 'title': '아르페지오'}]"
14,인피니트 에스프레소,"[{'id': 1, 'title': '아마레티'}, {'id': 40, 'title': '코코넛 플레이버 오버 아이스'}, {'id': 44, 'title': '에스페란사 데 콜롬비아'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 115, 'title': '아이스 레제로'}, {'id': 126, 'title': '페퍼민트 핀휠 리미티드 에디션'}, {'id': 137, 'title': 'Tropical Coconut Flavor Over Ice'}]"
15,인피니트 후루티 라즈베리,"[{'id': 34, 'title': '카프리치오'}, {'id': 16, 'title': '인피니트 고메 헤이즐넛'}, {'id': 77, 'title': '로마'}, {'id': 41, 'title': '콜롬비아'}, {'id': 72, 'title': '페루 오가닉'}, {'id': 96, 'title': '아론디오'}, {'id': 78, 'title': '스쿠로'}, {'id': 68, 'title': '노치올라'}, {'id': 86, 'title': '바닐라'}, {'id': 38, 'title': '초콜라티노'}]"
16,인피니트 고메 헤이즐넛,"[{'id': 15, 'title': '인피니트 후루티 라즈베리'}, {'id': 34, 'title': '카프리치오'}, {'id': 77, 'title': '로마'}, {'id': 41, 'title': '콜롬비아'}, {'id': 72, 'title': '페루 오가닉'}, {'id': 96, 'title': '아론디오'}, {'id': 78, 'title': '스쿠로'}, {'id': 68, 'title': '노치올라'}, {'id': 86, 'title': '바닐라'}, {'id': 38, 'title': '초콜라티노'}]"
17,리니시오 롱고,"[{'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 113, 'title': '헤이즐리노 머핀'}, {'id': 147, 'title': 'Forest Fruit Flavor'}, {'id': 35, 'title': '카라멜 크레임 브륄레'}, {'id': 111, 'title': '하프-카페이나토'}, {'id': 110, 'title': '골든 캐러멜'}, {'id': 131, 'title': 'Roasted Hazelnut'}, {'id': 39, 'title': '코코아 트러플'}, {'id': 135, 'title': 'Sweet Vanilla'}, {'id': 138, 'title': 'Vanilla Custard Pie'}]"
18,파리 블랙,"[{'id': 54, 'title': '인디아'}, {'id': 6, 'title': '다르칸'}, {'id': 53, 'title': '일 카페'}, {'id': 67, 'title': '나폴리'}, {'id': 59, 'title': '카자아르'}, {'id': 108, 'title': '디카페인 포르타도'}, {'id': 132, 'title': 'Stormio'}, {'id': 133, 'title': 'Stormio Boost'}, {'id': 107, 'title': '포르타도'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}]"
19,로사바야 데 콜롬비아,"[{'id': 90, 'title': '볼루토'}, {'id': 91, 'title': '디카페인 볼루토'}, {'id': 43, 'title': '코지'}, {'id': 45, 'title': '에티오피아'}, {'id': 41, 'title': '콜롬비아'}, {'id': 72, 'title': '페루 오가닉'}, {'id': 38, 'title': '초콜라티노'}, {'id': 68, 'title': '노치올라'}, {'id': 86, 'title': '바닐라'}, {'id': 36, 'title': '카라멜로'}]"
20,토르타 디 노초올레,"[{'id': 1, 'title': '아마레티'}, {'id': 40, 'title': '코코넛 플레이버 오버 아이스'}, {'id': 44, 'title': '에스페란사 데 콜롬비아'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 14, 'title': '인피니트 에스프레소'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 115, 'title': '아이스 레제로'}, {'id': 126, 'title': '페퍼민트 핀휠 리미티드 에디션'}]"
21,바닐리오,"[{'id': 4, 'title': '카라멜리또'}, {'id': 5, 'title': '초콜라티노'}, {'id': 7, 'title': '브라질 둘세오'}, {'id': 144, 'title': 'Decaffeinato'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 140, 'title': 'Voltesso'}, {'id': 62, 'title': '리반토'}, {'id': 151, 'title': 'Intenso, Decaf (espresso)'}, {'id': 150, 'title': 'Intenso (Alto)'}, {'id': 1, 'title': '아마레티'}]"
22,비발토 롱고,"[{'id': 23, 'title': '디카페인 비발토 롱고'}, {'id': 105, 'title': '더블 에스프레소 돌체'}, {'id': 98, 'title': '비앙코 포르테'}, {'id': 58, 'title': '카하와야 콩고'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 50, 'title': '갈라파고스 스페셜 리저브'}, {'id': 57, 'title': '재마이카 블루 마운틴'}, {'id': 1, 'title': '아마레티'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}]"
23,디카페인 비발토 롱고,"[{'id': 22, 'title': '비발토 롱고'}, {'id': 105, 'title': '더블 에스프레소 돌체'}, {'id': 98, 'title': '비앙코 포르테'}, {'id': 58, 'title': '카하와야 콩고'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 50, 'title': '갈라파고스 스페셜 리저브'}, {'id': 57, 'title': '재마이카 블루 마운틴'}, {'id': 1, 'title': '아마레티'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}]"
24,에이지드 수마트라,"[{'id': 122, 'title': '멕시코'}, {'id': 63, 'title': '마이애미'}, {'id': 33, 'title': '케이프타운 엔비보 롱고'}, {'id': 89, 'title': '비엔나 리니지오 롱고'}, {'id': 6, 'title': '다르칸'}, {'id': 53, 'title': '일 카페'}, {'id': 54, 'title': '인디아'}, {'id': 88, 'title': '베네치아'}, {'id': 132, 'title': 'Stormio'}, {'id': 108, 'title': '디카페인 포르타도'}]"
25,아마하 아웨 우간다,"[{'id': 124, 'title': '오다시오'}, {'id': 27, 'title': '디카페인 아르페지오'}, {'id': 26, 'title': '아르페지오'}, {'id': 71, 'title': '파리 에스프레소'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 127, 'title': '푸어오버 스타일 인텐소'}, {'id': 55, 'title': '인도네시아'}, {'id': 107, 'title': '포르타도'}, {'id': 132, 'title': 'Stormio'}, {'id': 133, 'title': 'Stormio Boost'}]"
26,아르페지오,"[{'id': 27, 'title': '디카페인 아르페지오'}, {'id': 25, 'title': '아마하 아웨 우간다'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 71, 'title': '파리 에스프레소'}, {'id': 124, 'title': '오다시오'}, {'id': 55, 'title': '인도네시아'}, {'id': 75, 'title': '리스트레또'}, {'id': 76, 'title': '디카페인 리스트레또'}, {'id': 13, 'title': '인드리야'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}]"
27,디카페인 아르페지오,"[{'id': 26, 'title': '아르페지오'}, {'id': 25, 'title': '아마하 아웨 우간다'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 71, 'title': '파리 에스프레소'}, {'id': 124, 'title': '오다시오'}, {'id': 55, 'title': '인도네시아'}, {'id': 75, 'title': '리스트레또'}, {'id': 76, 'title': '디카페인 리스트레또'}, {'id': 13, 'title': '인드리야'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}]"
28,브라질 오가닉,"[{'id': 89, 'title': '비엔나 리니지오 롱고'}, {'id': 122, 'title': '멕시코'}, {'id': 24, 'title': '에이지드 수마트라'}, {'id': 33, 'title': '케이프타운 엔비보 롱고'}, {'id': 64, 'title': '밀라노 인텐소'}, {'id': 80, 'title': '스톡홀름 포티시오 롱고'}, {'id': 12, 'title': '포르티시오 롱고'}, {'id': 63, 'title': '마이애미'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 57, 'title': '재마이카 블루 마운틴'}]"
29,부에노스 아이레스 롱고,"[{'id': 2, 'title': '부케엘라 카 에티오피아'}, {'id': 116, 'title': '이니지오'}, {'id': 85, 'title': '우무티마와 호수 키부 르완다'}, {'id': 38, 'title': '초콜라티노'}, {'id': 68, 'title': '노치올라'}, {'id': 136, 'title': 'Toccanto'}, {'id': 36, 'title': '카라멜로'}, {'id': 86, 'title': '바닐라'}, {'id': 56, 'title': '이스탄불 에스프레소'}, {'id': 112, 'title': '하와이 코나 리미티드 에디션'}]"
