id,title,recommendation
1,에티오피아 예가체프 G2,"[{'id': 38, 'title': '에티오피아 예가체프 G2'}, {'id': 37, 'title': '에티오피아 시다모 G4'}, {'id': 36, 'title': '에티오피아 시다모 G2'}, {'id': 28, 'title': '에티오피아 예가체프 G2'}, {'id': 24, 'title': '에티오피아 시다모 G2'}, {'id': 3, 'title': '에티오피아 코케허니 G1'}, {'id': 19, 'title': '르완다 부산제'}, {'id': 39, 'title': '에티오피아 예가체프 G4'}, {'id': 13, 'title': '온두라스 엘 파라이소 파라이네마'}, {'id': 35, 'title': '브라질 세하도 NY2 FC'}]"
2,과테말라 안티구아,"[{'id': 15, 'title': '과테말라 SHB 디카페인'}, {'id': 40, 'title': '과테말라 안티구아 SHB'}, {'id': 30, 'title': '과테말라 안티구아 SHB'}, {'id': 32, 'title': '케냐 AA FAQ'}, {'id': 8, 'title': '케냐 피베리 FAQ'}, {'id': 50, 'title': '과테말라 안티구아 마운틴 워터 디카페인'}, {'id': 12, 'title': '코스타리카 테라 벨라 하이브리드 마이크로랏'}, {'id': 45, 'title': '인도네시아 만델링 G1'}, {'id': 5, 'title': '콜롬비아 수프리모'}, {'id': 41, 'title': '탄자니아 킬리만자로 AA'}]"
3,에티오피아 코케허니 G1,"[{'id': 1, 'title': '에티오피아 예가체프 G2'}, {'id': 19, 'title': '르완다 부산제'}, {'id': 40, 'title': '과테말라 안티구아 SHB'}, {'id': 30, 'title': '과테말라 안티구아 SHB'}, {'id': 31, 'title': '콜롬비아 수프리모 후일라'}, {'id': 32, 'title': '케냐 AA FAQ'}, {'id': 33, 'title': '베트남 로부스타'}, {'id': 34, 'title': '브라질 산토스 NY2 FC'}, {'id': 35, 'title': '브라질 세하도 NY2 FC'}, {'id': 36, 'title': '에티오피아 시다모 G2'}]"
4,케냐 AA,"[{'id': 16, 'title': '콜롬비아 엑셀소 마운틴 워터 디카페인'}, {'id': 46, 'title': '온두라스 SHB'}, {'id': 17, 'title': '인도 몬순 말라바르 AA'}, {'id': 7, 'title': '브라질 세하도 파인컵 NY2'}, {'id': 43, 'title': '코스타리카 따라주 SHB'}, {'id': 36, 'title': '에티오피아 시다모 G2'}, {'id': 39, 'title': '에티오피아 예가체프 G4'}, {'id': 38, 'title': '에티오피아 예가체프 G2'}, {'id': 37, 'title': '에티오피아 시다모 G4'}, {'id': 1, 'title': '에티오피아 예가체프 G2'}]"
5,콜롬비아 수프리모,"[{'id': 34, 'title': '브라질 산토스 NY2 FC'}, {'id': 43, 'title': '코스타리카 따라주 SHB'}, {'id': 32, 'title': '케냐 AA FAQ'}, {'id': 30, 'title': '과테말라 안티구아 SHB'}, {'id': 45, 'title': '인도네시아 만델링 G1'}, {'id': 2, 'title': '과테말라 안티구아'}, {'id': 41, 'title': '탄자니아 킬리만자로 AA'}, {'id': 46, 'title': '온두라스 SHB'}, {'id': 36, 'title': '에티오피아 시다모 G2'}, {'id': 29, 'title': '브라질 세하도 NY2 FC 17/18'}]"
6,페루 엘 쿠엘로 워시드,"[{'id': 13, 'title': '온두라스 엘 파라이소 파라이네마'}, {'id': 28, 'title': '에티오피아 예가체프 G2'}, {'id': 19, 'title': '르완다 부산제'}, {'id': 14, 'title': '에티오피아 시다모 봄베 워시드'}, {'id': 22, 'title': '인도네시아 만델링 G1'}, {'id': 25, 'title': '인도 마이소르 너겟 엑스타르 볼듯'}, {'id': 8, 'title': '케냐 피베리 FAQ'}, {'id': 40, 'title': '과테말라 안티구아 SHB'}, {'id': 36, 'title': '에티오피아 시다모 G2'}, {'id': 37, 'title': '에티오피아 시다모 G4'}]"
7,브라질 세하도 파인컵 NY2,"[{'id': 47, 'title': '엘 살바도르 팬시'}, {'id': 35, 'title': '브라질 세하도 NY2 FC'}, {'id': 36, 'title': '에티오피아 시다모 G2'}, {'id': 16, 'title': '콜롬비아 엑셀소 마운틴 워터 디카페인'}, {'id': 15, 'title': '과테말라 SHB 디카페인'}, {'id': 46, 'title': '온두라스 SHB'}, {'id': 9, 'title': '파나마 라 에스메랄다 팔미라 에스테이트'}, {'id': 4, 'title': '케냐 AA'}, {'id': 17, 'title': '인도 몬순 말라바르 AA'}, {'id': 8, 'title': '케냐 피베리 FAQ'}]"
8,케냐 피베리 FAQ,"[{'id': 16, 'title': '콜롬비아 엑셀소 마운틴 워터 디카페인'}, {'id': 15, 'title': '과테말라 SHB 디카페인'}, {'id': 11, 'title': '브라질 이스페란사 내추럴'}, {'id': 13, 'title': '온두라스 엘 파라이소 파라이네마'}, {'id': 35, 'title': '브라질 세하도 NY2 FC'}, {'id': 10, 'title': '브라질 옐로우 버번'}, {'id': 30, 'title': '과테말라 안티구아 SHB'}, {'id': 23, 'title': '베트남 로부스타 G1'}, {'id': 21, 'title': '엘살바도르 놈브레 데 디오스 마이크로랏'}, {'id': 12, 'title': '코스타리카 테라 벨라 하이브리드 마이크로랏'}]"
9,파나마 라 에스메랄다 팔미라 에스테이트,"[{'id': 18, 'title': '코스타리카 따라주 SHB'}, {'id': 21, 'title': '엘살바도르 놈브레 데 디오스 마이크로랏'}, {'id': 29, 'title': '브라질 세하도 NY2 FC 17/18'}, {'id': 7, 'title': '브라질 세하도 파인컵 NY2'}, {'id': 37, 'title': '에티오피아 시다모 G4'}, {'id': 10, 'title': '브라질 옐로우 버번'}, {'id': 47, 'title': '엘 살바도르 팬시'}, {'id': 40, 'title': '과테말라 안티구아 SHB'}, {'id': 12, 'title': '코스타리카 테라 벨라 하이브리드 마이크로랏'}, {'id': 11, 'title': '브라질 이스페란사 내추럴'}]"
10,브라질 옐로우 버번,"[{'id': 11, 'title': '브라질 이스페란사 내추럴'}, {'id': 8, 'title': '케냐 피베리 FAQ'}, {'id': 12, 'title': '코스타리카 테라 벨라 하이브리드 마이크로랏'}, {'id': 9, 'title': '파나마 라 에스메랄다 팔미라 에스테이트'}, {'id': 29, 'title': '브라질 세하도 NY2 FC 17/18'}, {'id': 34, 'title': '브라질 산토스 NY2 FC'}, {'id': 45, 'title': '인도네시아 만델링 G1'}, {'id': 49, 'title': '콜롬비아 수프리모 마운틴 워터 디카페인'}, {'id': 50, 'title': '과테말라 안티구아 마운틴 워터 디카페인'}, {'id': 51, 'title': '에티오피아 예가체프 마운틴 워터 디카페인'}]"
