idx,name_ko,recommendation
1,아마레티,"[{'id': 137, 'title': '트로피컬 코코넛 오버 아이스'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 20, 'title': '토르타 디 노초올레'}, {'id': 61, 'title': '림인하 오버 아이스'}]"
2,부케엘라 카 에티오피아,"[{'id': 29, 'title': '부에노스 아이레스 롱고'}, {'id': 134, 'title': '솔레리오'}, {'id': 90, 'title': '볼루토'}, {'id': 91, 'title': '디카페인 볼루토'}, {'id': 43, 'title': '코지'}]"
3,카페 이스탄불,"[{'id': 31, 'title': '까페시또 데 푸에르토리코'}, {'id': 65, 'title': '밀레니오'}, {'id': 76, 'title': '디카페인 리스트레또'}, {'id': 13, 'title': '인드리야'}, {'id': 75, 'title': '리스트레또'}]"
4,카라멜리또,"[{'id': 5, 'title': '초콜라티노'}, {'id': 144, 'title': '디카페나토'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 21, 'title': '바닐리오'}, {'id': 62, 'title': '리반토'}]"
5,초콜라티노,"[{'id': 4, 'title': '카라멜리또'}, {'id': 144, 'title': '디카페나토'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 21, 'title': '바닐리오'}, {'id': 62, 'title': '리반토'}]"
6,다르칸,"[{'id': 54, 'title': '인디아'}, {'id': 53, 'title': '일 카페'}, {'id': 18, 'title': '파리 블랙'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 32, 'title': '까페지뇨 두 브라질'}]"
7,브라질 둘세오,"[{'id': 22, 'title': '비발토 롱고'}, {'id': 23, 'title': '디카페인 비발토 롱고'}, {'id': 140, 'title': '볼테소'}, {'id': 141, 'title': '위스키 에센스'}, {'id': 66, 'title': '니카라과'}]"
8,엔비보 롱고,"[{'id': 69, 'title': '노베첸토'}, {'id': 63, 'title': '마이애미'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 32, 'title': '까페지뇨 두 브라질'}, {'id': 133, 'title': '스토미오 부스트'}]"
9,포레스트 아몬드 플레이버,"[{'id': 1, 'title': '아마레티'}, {'id': 137, 'title': '트로피컬 코코넛 오버 아이스'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 20, 'title': '토르타 디 노초올레'}]"
10,포레스트 블랙,"[{'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 50, 'title': '갈라파고스 스페셜 리저브'}, {'id': 57, 'title': '재마이카 블루 마운틴'}, {'id': 80, 'title': '스톡홀름 포티시오 롱고'}, {'id': 64, 'title': '밀라노 인텐소'}]"
