idx,created_date,updated_date,name_ko,name_en,summary,thumbnail,user_grade
1,,,에티오피아 예가체프 G2 워시드 (중배전),에티오피아 예가체프 G2 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
2,,,과테말라 안티구아 SHB 워시드 (강배전),과테말라 안티구아 SHB 워시드 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
3,,,에티오피아 코케 G1 펄프드내추럴 (중배전),에티오피아 코케 G1 펄프드내추럴 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
4,,,케냐 키암부 AA 워시드 (중배전),케냐 키암부 AA 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
5,,,콜롬비아 콜롬비아 SUPREMO 워시드 (중배전),콜롬비아 콜롬비아 SUPREMO 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
6,,,페루 피우라 MICRO LOT 워시드 (중배전),페루 피우라 MICRO LOT 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
7,,,브라질 세하도 NY2 FC 내추럴 (중배전),브라질 세하도 NY2 FC 내추럴 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
8,,,케냐 키암부 FAQ 워시드 (중배전),케냐 키암부 FAQ 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
9,,,파나마 보케테 SPECIALTY 워시드 (중배전),파나마 보케테 SPECIALTY 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
10,,,브라질 세하도 NY2 FC 펄프드내추럴 (중배전),브라질 세하도 NY2 FC 펄프드내추럴 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
11,,,브라질 세하도 SPECIALTY 펄프드내추럴 (중배전),브라질 세하도 SPECIALTY 펄프드내추럴 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
12,,,코스타리카 나란조 MICRO LOT 워시드 (중배전),코스타리카 나란조 MICRO LOT 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
13,,,온두라스 엘 파라이소 SPECIALTY 워시드 (중배전),온두라스 엘 파라이소 SPECIALTY 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
14,,,에티오피아 시다모 SPECIALTY 워시드 (중배전),에티오피아 시다모 SPECIALTY 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
15,,,과테말라 우에우에테낭고 SHB 워시드 디카페인 (강배전),과테말라 우에우에테낭고 SHB 워시드 디카페인 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
16,,,콜롬비아 후일라 EXCELOS 워시드 디카페인 (강배전),콜롬비아 후일라 EXCELOS 워시드 디카페인 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
17,,,인도 말라바르 AA 워시드 (중배전),인도 말라바르 AA 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
