idx,created_date,updated_date,decaffeination,description,origin,region,rank,processing,bean_idx
1,,,F,상세 내용 입니다!!!,에티오피아,예가체프,G2,워시드,1
2,,,F,상세 내용 입니다!!!,과테말라,안티구아,SHB,워시드,2
3,,,F,상세 내용 입니다!!!,에티오피아,코케,G1,펄프드내추럴,3
4,,,F,상세 내용 입니다!!!,케냐,키암부,AA,워시드,4
5,,,F,상세 내용 입니다!!!,콜롬비아,콜롬비아,SUPREMO,워시드,5
6,,,F,상세 내용 입니다!!!,페루,피우라,MICRO LOT,워시드,6
7,,,F,상세 내용 입니다!!!,브라질,세하도,NY2 FC,내추럴,7
8,,,F,상세 내용 입니다!!!,케냐,키암부,FAQ,워시드,8
9,,,F,상세 내용 입니다!!!,파나마,보케테,SPECIALTY,워시드,9
10,,,F,상세 내용 입니다!!!,브라질,세하도,NY2 FC,펄프드내추럴,10
11,,,F,상세 내용 입니다!!!,브라질,세하도,SPECIALTY,펄프드내추럴,11
12,,,F,상세 내용 입니다!!!,코스타리카,나란조,MICRO LOT,워시드,12
13,,,F,상세 내용 입니다!!!,온두라스,엘 파라이소,SPECIALTY,워시드,13
14,,,F,상세 내용 입니다!!!,에티오피아,시다모,SPECIALTY,워시드,14
15,,,T,상세 내용 입니다!!!,과테말라,우에우에테낭고,SHB,워시드,15
16,,,T,상세 내용 입니다!!!,콜롬비아,후일라,EXCELOS,워시드,16
17,,,F,상세 내용 입니다!!!,인도,말라바르,AA,워시드,17
18,,,F,상세 내용 입니다!!!,코스타리카,따라주,SHB,워시드,18
19,,,F,상세 내용 입니다!!!,르완다,부산제,SPECIALTY,워시드,19
20,,,T,상세 내용 입니다!!!,브라질,카르모 데 미나스,-,워시드,20
21,,,F,상세 내용 입니다!!!,엘살바도르,산타아,MICRO LOT,워시드,21
22,,,F,상세 내용 입니다!!!,인도네시아,수마트라,G1,웻헐드,22
23,,,F,상세 내용 입니다!!!,베트남,베트남,G1,워시드,23
24,,,F,상세 내용 입니다!!!,에티오피아,시다모,G2,워시드,24
25,,,F,상세 내용 입니다!!!,인도,치크마갈루르,AA,워시드,25
26,,,T,상세 내용 입니다!!!,에티오피아,시다모,G2,워시드,26
27,,,T,상세 내용 입니다!!!,콜롬비아,콜롬비아,SUPREMO,워시드,27
28,,,F,상세 내용 입니다!!!,에티오피아,예가체프,G2,워시드,28
29,,,F,상세 내용 입니다!!!,브라질,세하도,NY2 FC,네추럴,29
30,,,F,상세 내용 입니다!!!,과테말라,안티구아,SHB,워시드,30
31,,,F,상세 내용 입니다!!!,콜롬비아,후일라,SUPREMO,워시드,31
32,,,F,상세 내용 입니다!!!,베트남,다낭,G1,폴리싱,32
33,,,F,상세 내용 입니다!!!,브라질,산토스,NY2 FC,내추럴,33
34,,,F,상세 내용 입니다!!!,에티오피아,시다모,G4,내추럴,34
35,,,F,상세 내용 입니다!!!,에티오피아,예가체프,G4,내추럴,35
36,,,F,상세 내용 입니다!!!,탄자니아,음빙가,AA,워시드,36
37,,,F,상세 내용 입니다!!!,콜롬비아,메데인,SUPREMO,워시드,37
38,,,F,상세 내용 입니다!!!,코스타리카,따라주,SHB,워시드,38
39,,,F,상세 내용 입니다!!!,파푸아뉴기니,와기벨리,AA,워시드,39
40,,,F,상세 내용 입니다!!!,인도네시아,만델링,G1,워시드,40
41,,,F,상세 내용 입니다!!!,온두라스,산티아고 푸링글라,SHB,워시드,41
42,,,F,상세 내용 입니다!!!,엘 살바도르,엘 살바도르,SHG,워시드,42
43,,,F,상세 내용 입니다!!!,케냐,키암부,AA,워시드,43
44,,,T,상세 내용 입니다!!!,콜롬비아,메데인,SUPREMO,워시드,44
45,,,T,상세 내용 입니다!!!,과테말라,안티구아,SHB,워시드,45
46,,,T,상세 내용 입니다!!!,에티오피아,예가체프,G2,워시드,46
47,,,T,상세 내용 입니다!!!,브라질,산토스,NY2 FC,워시드,47
