idx,created_date,updated_date,expired,item_idx,item_type,member_idx
1,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,4
2,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,7
3,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,23
4,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,29
5,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,46
6,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,51
7,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,57
8,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,64
9,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,67
10,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,70
11,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,76
12,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,86
13,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,91
14,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,94
15,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,100
16,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,110
17,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,112
18,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,113
19,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,116
20,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,118
21,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,135
22,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,136
23,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,148
24,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,152
25,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,157
26,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,160
27,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,168
28,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,170
29,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,172
30,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,188
31,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,192
32,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,195
33,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,196
34,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,197
35,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,233
36,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,243
37,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,244
38,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,246
39,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,249
40,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,251
41,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,253
42,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,256
43,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,265
44,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,283
45,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,287
46,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,296
47,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,300
48,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,304
49,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,308
50,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,311
51,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,317
52,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,327
53,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,328
54,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,331
55,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,332
56,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,343
57,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,345
58,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,346
59,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,349
60,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,N,1,bean,350
