idx,created_date,updated_date,expired,item_idx,item_type,member_idx
1,,,N,1,bean,3
2,,,N,1,bean,6
3,,,N,1,bean,10
4,,,N,1,bean,13
5,,,N,1,bean,14
6,,,N,1,bean,24
7,,,N,1,bean,27
8,,,N,1,bean,33
9,,,N,1,bean,35
10,,,N,1,bean,39
11,,,N,1,bean,40
12,,,N,1,bean,44
13,,,N,1,bean,47
14,,,N,1,bean,48
15,,,N,1,bean,50
16,,,N,1,bean,64
17,,,N,1,bean,65
18,,,N,1,bean,77
19,,,N,1,bean,79
20,,,N,1,bean,85
21,,,N,1,bean,86
22,,,N,1,bean,88
23,,,N,1,bean,91
24,,,N,1,bean,97
25,,,N,1,bean,104
26,,,N,1,bean,108
27,,,N,1,bean,109
28,,,N,1,bean,112
29,,,N,1,bean,114
30,,,N,1,bean,115
31,,,N,1,bean,121
32,,,N,1,bean,125
33,,,N,1,bean,127
34,,,N,1,bean,128
35,,,N,1,bean,132
36,,,N,1,bean,141
37,,,N,1,bean,148
38,,,N,1,bean,164
39,,,N,1,bean,167
40,,,N,1,bean,168
41,,,N,1,bean,172
42,,,N,1,bean,173
43,,,N,1,bean,174
44,,,N,1,bean,177
45,,,N,1,bean,181
46,,,N,1,bean,185
47,,,N,1,bean,188
48,,,N,1,bean,195
49,,,N,1,bean,199
50,,,N,1,bean,200
51,,,N,1,bean,213
52,,,N,1,bean,219
53,,,N,1,bean,221
54,,,N,1,bean,223
55,,,N,1,bean,229
56,,,N,1,bean,231
57,,,N,1,bean,237
58,,,N,1,bean,252
59,,,N,1,bean,272
60,,,N,1,bean,274
61,,,N,1,bean,277
62,,,N,1,bean,283
63,,,N,1,bean,290
64,,,N,1,bean,291
65,,,N,1,bean,292
66,,,N,1,bean,299
67,,,N,1,bean,305
68,,,N,1,bean,307
69,,,N,1,bean,309
70,,,N,1,bean,310
71,,,N,1,bean,313
72,,,N,1,bean,317
73,,,N,1,bean,318
74,,,N,1,bean,329
75,,,N,1,bean,341
76,,,N,1,bean,342
77,,,N,1,bean,347
78,,,N,1,bean,351
79,,,N,1,bean,356
80,,,N,1,bean,365
81,,,N,1,bean,367
82,,,N,1,bean,371
83,,,N,1,bean,372
84,,,N,1,bean,373
85,,,N,1,bean,378
86,,,N,1,bean,385
87,,,N,1,bean,394
88,,,N,1,bean,404
89,,,N,1,bean,406
90,,,N,1,bean,411
91,,,N,1,bean,417
92,,,N,1,bean,420
93,,,N,1,bean,431
94,,,N,1,bean,441
95,,,N,1,bean,443
96,,,N,1,bean,453
97,,,N,1,bean,460
98,,,N,1,bean,466
99,,,N,1,bean,469
100,,,N,1,bean,473
101,,,N,1,bean,474
102,,,N,1,bean,479
103,,,N,1,bean,484
104,,,N,1,bean,493
105,,,N,1,bean,495
106,,,N,1,bean,503
107,,,N,1,bean,507
108,,,N,1,bean,508
109,,,N,1,bean,512
110,,,N,1,bean,517
111,,,N,1,bean,524
112,,,N,1,bean,525
113,,,N,1,bean,526
114,,,N,1,bean,529
115,,,N,1,bean,530
116,,,N,1,bean,537
117,,,N,1,bean,539
118,,,N,1,bean,543
119,,,N,1,bean,544
120,,,N,1,bean,547
121,,,N,1,bean,557
122,,,N,1,bean,563
123,,,N,1,bean,564
124,,,N,1,bean,571
125,,,N,1,bean,573
126,,,N,1,bean,577
127,,,N,1,bean,590
128,,,N,1,bean,594
129,,,N,1,bean,597
130,,,N,1,bean,599
131,,,N,1,bean,608
132,,,N,1,bean,609
133,,,N,1,bean,615
134,,,N,1,bean,623
135,,,N,1,bean,629
136,,,N,1,bean,638
137,,,N,1,bean,643
138,,,N,1,bean,647
139,,,N,1,bean,660
140,,,N,1,bean,662
141,,,N,1,bean,666
142,,,N,1,bean,667
143,,,N,1,bean,669
144,,,N,1,bean,686
145,,,N,1,bean,688
146,,,N,1,bean,694
147,,,N,1,bean,696
148,,,N,1,bean,704
149,,,N,1,bean,710
150,,,N,1,bean,713
151,,,N,1,bean,714
152,,,N,1,bean,715
153,,,N,1,bean,716
154,,,N,1,bean,720
155,,,N,1,bean,726
156,,,N,1,bean,727
157,,,N,1,bean,728
158,,,N,1,bean,732
159,,,N,1,bean,739
160,,,N,1,bean,741
161,,,N,1,bean,742
162,,,N,1,bean,750
163,,,N,1,bean,752
164,,,N,1,bean,753
165,,,N,1,bean,755
166,,,N,1,bean,759
167,,,N,1,bean,761
168,,,N,1,bean,766
169,,,N,1,bean,767
170,,,N,1,bean,774
171,,,N,1,bean,780
172,,,N,1,bean,786
173,,,N,1,bean,789
174,,,N,1,bean,792
175,,,N,1,bean,793
176,,,N,1,bean,806
177,,,N,1,bean,815
178,,,N,1,bean,818
179,,,N,1,bean,822
180,,,N,1,bean,824
181,,,N,1,bean,827
182,,,N,1,bean,830
183,,,N,1,bean,836
184,,,N,1,bean,848
185,,,N,1,bean,860
186,,,N,1,bean,862
187,,,N,1,bean,871
188,,,N,1,bean,874
189,,,N,1,bean,881
190,,,N,1,bean,882
191,,,N,1,bean,888
192,,,N,1,bean,897
193,,,N,1,bean,898
194,,,N,1,bean,899
195,,,N,1,bean,901
196,,,N,1,bean,909
197,,,N,1,bean,910
198,,,N,1,bean,919
199,,,N,1,bean,924
200,,,N,1,bean,954
201,,,N,1,bean,960
202,,,N,1,bean,961
203,,,N,1,bean,963
204,,,N,1,bean,973
205,,,N,1,bean,975
206,,,N,1,bean,983
207,,,N,1,bean,989
208,,,N,1,bean,996
209,,,N,2,bean,8
210,,,N,2,bean,13
211,,,N,2,bean,14
212,,,N,2,bean,28
213,,,N,2,bean,38
214,,,N,2,bean,39
215,,,N,2,bean,43
216,,,N,2,bean,44
217,,,N,2,bean,45
218,,,N,2,bean,50
219,,,N,2,bean,56
220,,,N,2,bean,58
221,,,N,2,bean,75
222,,,N,2,bean,79
223,,,N,2,bean,85
224,,,N,2,bean,93
225,,,N,2,bean,96
226,,,N,2,bean,99
227,,,N,2,bean,104
228,,,N,2,bean,113
229,,,N,2,bean,116
230,,,N,2,bean,122
231,,,N,2,bean,126
232,,,N,2,bean,127
233,,,N,2,bean,128
234,,,N,2,bean,130
235,,,N,2,bean,132
236,,,N,2,bean,136
237,,,N,2,bean,143
