idx,created_date,updated_date,acidity,bitterness,body,coffeeing_note,content,expired,flavor,item_idx,item_type,like,overall,sweetness,member_idx
1,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,7,6,8
2,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,8,6,11
3,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,5,6,29
4,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,8,6,37
5,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,8,6,38
6,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,9,6,44
7,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,9,6,50
8,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,2,6,51
9,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,5,6,55
10,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,8,6,59
11,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,8,6,65
12,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,5,6,66
13,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,4,6,67
14,,,7,4,4,"꽃, 과일, 부드러운, 플로럴, 레몬, 허니",커피가 괜찮아요,N,7,1,bean,0,1,6,69
