idx,created_date,updated_date,acidity,bitterness,body,coffeeing_note,expired,flavor,param1,param2,param3,param4,param5,param6,param7,param8,result_code,result_type,sweetness,member_idx
1,2023-03-01 12:00:00.000000,2023-03-01 12:00:00.000000,3.5,2.8,5.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 망고, 바나나, 파인애플, 시트러스",N,5.0,1,2,1,3,3,2,5,2,35,달콤하고 즐거운 맛을 즐기는 타입,7.2,1
2,2023-03-01 12:43:12.000000,2023-03-01 12:43:12.000000,3.3,2.5,6.7,"견과류, 묵직한, 스모크, 과일, 풍부한, 망고, 바나나, 파인애플, 플로럴",N,6.5,1,2,2,5,3,1,5,4,51,풍부하고 진한 입감을 즐기는 타입,4.7,2
3,2023-03-01 13:26:24.000000,2023-03-01 13:26:24.000000,4.2,5.4,5.3,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 허브",N,7.6,2,2,2,1,1,2,4,3,14,향미에 가치를 두는 타입,3.8,3
4,2023-03-01 14:09:36.000000,2023-03-01 14:09:36.000000,4.0,3.8,4.0,"과일, 초코, 균형있는, 과일, 풍부한, 체리, 복숭아, 허브",N,8.2,1,2,3,1,2,1,2,3,13,향미에 가치를 두는 타입,5.1,4
5,2023-03-01 14:52:48.000000,2023-03-01 14:52:48.000000,4.9,2.9,5.7,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 시트러스",N,5.3,2,5,1,5,4,2,4,2,51,풍부하고 진한 입감을 즐기는 타입,4.6,5
6,2023-03-01 15:36:00.000000,2023-03-01 15:36:00.000000,2.4,4.9,5.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 우디",N,5.7,2,3,1,3,1,2,2,1,31,달콤하고 즐거운 맛을 즐기는 타입,6.0,6
7,2023-03-01 16:19:12.000000,2023-03-01 16:19:12.000000,2.1,3.2,6.1,"견과류, 묵직한, 스모크, 견과류, 고소한, 망고, 바나나, 파인애플, 플로럴",N,6.0,2,3,2,3,3,3,5,4,51,풍부하고 진한 입감을 즐기는 타입,5.8,7
8,2023-03-01 17:02:24.000000,2023-03-01 17:02:24.000000,6.4,2.6,3.8,"견과류, 묵직한, 스모크, 과일, 풍부한, 레몬, 오렌지, 귤, 플로럴",N,6.8,1,2,2,2,4,1,4,4,12,향미에 가치를 두는 타입,3.8,8
9,2023-03-01 17:45:36.000000,2023-03-01 17:45:36.000000,4.6,5.7,4.4,"견과류, 묵직한, 스모크, 과일, 풍부한, 베리, 커런트, 허브",N,8.1,2,3,2,1,1,1,3,3,14,향미에 가치를 두는 타입,3.5,9
10,2023-03-01 18:28:48.000000,2023-03-01 18:28:48.000000,3.1,5.4,5.7,"카라멜, 고소한, 풍부한, 초코, 부드러운, 망고, 바나나, 파인애플, 허브",N,7.4,1,3,1,1,1,2,5,3,15,향미에 가치를 두는 타입,4.6,10
11,2023-03-01 19:12:00.000000,2023-03-01 19:12:00.000000,3.6,6.9,5.7,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,5.1,1,2,1,4,1,2,4,1,45,강하고 쓴 맛을 선호하는 타입,3.5,11
12,2023-03-01 19:55:12.000000,2023-03-01 19:55:12.000000,4.2,4.6,5.8,"견과류, 묵직한, 스모크, 초코, 부드러운, 체리, 복숭아, 우디",N,5.8,2,2,2,2,1,2,2,1,15,향미에 가치를 두는 타입,4.2,12
13,2023-03-01 20:38:24.000000,2023-03-01 20:38:24.000000,2.8,6.2,6.0,"카라멜, 고소한, 풍부한, 견과류, 고소한, 베리, 커런트, 우디",N,6.7,2,3,1,1,1,3,3,1,14,향미에 가치를 두는 타입,2.6,13
14,2023-03-01 21:21:36.000000,2023-03-01 21:21:36.000000,2.8,5.3,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 허브",N,8.1,1,2,1,1,1,2,2,3,14,향미에 가치를 두는 타입,4.7,14
