idx,name_ko,recommendation
1,아마레티,"[{'id': 59, 'title': '카자아르'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 52, 'title': '온두로스'}, {'id': 95, 'title': '알토 오니체'}, {'id': 103, 'title': '디아볼리토'}, {'id': 97, 'title': '비앙코 도피오'}, {'id': 63, 'title': '마이애미'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 151, 'title': '디카페나토 인텐소'}, {'id': 24, 'title': '에이지드 수마트라'}]"
2,부케엘라 카 에티오피아,"[{'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 87, 'title': '바닐라 에클레어'}, {'id': 94, 'title': '알토 암브라토'}, {'id': 92, 'title': '알티시오'}, {'id': 43, 'title': '코지'}, {'id': 29, 'title': '부에노스 아이레스 롱고'}, {'id': 105, 'title': '더블 에스프레소 돌체'}, {'id': 21, 'title': '바닐리오'}, {'id': 15, 'title': '인피니트 후루티 라즈베리'}, {'id': 102, 'title': '코스타리카'}]"
3,카페 이스탄불,"[{'id': 113, 'title': '헤이즐리노 머핀'}, {'id': 33, 'title': '케이프타운 엔비보 롱고'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 26, 'title': '아르페지오'}, {'id': 28, 'title': '브라질 오가닉'}, {'id': 76, 'title': '디카페인 리스트레또'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 136, 'title': '토칸토'}, {'id': 133, 'title': '스토미오 부스트'}, {'id': 61, 'title': '림인하 오버 아이스'}]"
4,카라멜리또,"[{'id': 72, 'title': '페루 오가닉'}, {'id': 38, 'title': '초콜라티노'}, {'id': 145, 'title': '돌체'}, {'id': 117, 'title': '인텐소 (커피)'}, {'id': 9, 'title': '포레스트 아몬드 플레이버'}, {'id': 144, 'title': '디카페나토'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 143, 'title': '비안코 레게로'}, {'id': 25, 'title': '아마하 아웨 우간다'}, {'id': 29, 'title': '부에노스 아이레스 롱고'}]"
5,초콜라티노,"[{'id': 25, 'title': '아마하 아웨 우간다'}, {'id': 32, 'title': '까페지뇨 두 브라질'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 52, 'title': '온두로스'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 108, 'title': '디카페인 포르타도'}, {'id': 9, 'title': '포레스트 아몬드 플레이버'}, {'id': 84, 'title': '트리부트 투 트리에스테'}, {'id': 138, 'title': '바닐라 커스터드 파이'}]"
6,다르칸,"[{'id': 75, 'title': '리스트레또'}, {'id': 7, 'title': '브라질 둘세오'}, {'id': 147, 'title': '포레스트 푸르트'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 81, 'title': '타무카 무 짐바브웨'}, {'id': 90, 'title': '볼루토'}, {'id': 127, 'title': '푸어오버 스타일 인텐소'}, {'id': 57, 'title': '재마이카 블루 마운틴'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 9, 'title': '포레스트 아몬드 플레이버'}]"
7,브라질 둘세오,"[{'id': 138, 'title': '바닐라 커스터드 파이'}, {'id': 124, 'title': '오다시오'}, {'id': 78, 'title': '스쿠로'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 6, 'title': '다르칸'}, {'id': 50, 'title': '갈라파고스 스페셜 리저브'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 150, 'title': '인텐소 (알토)'}, {'id': 148, 'title': '지오르니오'}, {'id': 9, 'title': '포레스트 아몬드 플레이버'}]"
8,엔비보 롱고,"[{'id': 23, 'title': '디카페인 비발토 롱고'}, {'id': 54, 'title': '인디아'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 121, 'title': '디카페인 멜로지오'}, {'id': 96, 'title': '아론디오'}, {'id': 150, 'title': '인텐소 (알토)'}, {'id': 107, 'title': '포르타도'}, {'id': 83, 'title': '트리부트 투 밀라노'}, {'id': 149, 'title': '인피니티 더블 에스프레소'}, {'id': 81, 'title': '타무카 무 짐바브웨'}]"
9,포레스트 아몬드 플레이버,"[{'id': 143, 'title': '비안코 레게로'}, {'id': 75, 'title': '리스트레또'}, {'id': 24, 'title': '에이지드 수마트라'}, {'id': 13, 'title': '인드리야'}, {'id': 4, 'title': '카라멜리또'}, {'id': 7, 'title': '브라질 둘세오'}, {'id': 96, 'title': '아론디오'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 30, 'title': '까페시또 데 쿠바'}, {'id': 6, 'title': '다르칸'}]"
10,포레스트 블랙,"[{'id': 73, 'title': '펌킨 스파이스 케이크'}, {'id': 96, 'title': '아론디오'}, {'id': 53, 'title': '일 카페'}, {'id': 106, 'title': '더블 에스프레소 스쿠로'}, {'id': 29, 'title': '부에노스 아이레스 롱고'}, {'id': 83, 'title': '트리부트 투 밀라노'}, {'id': 51, 'title': '하와이 코나'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 129, 'title': '펌킨 스파이스 케이크 리미티드 에디션'}, {'id': 142, 'title': '아플로라지오'}]"
