idx,name_ko,recommendation
1,아마레티,"[{'id': 112, 'title': '하와이 코나 리미티드 에디션'}, {'id': 139, 'title': '비비다 B12'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 89, 'title': '비엔나 리니지오 롱고'}, {'id': 100, 'title': '카라멜 쿠키'}, {'id': 134, 'title': '솔레리오'}, {'id': 24, 'title': '에이지드 수마트라'}, {'id': 101, 'title': '초콜릿 퍼지'}, {'id': 132, 'title': '스토미오'}, {'id': 102, 'title': '코스타리카'}]"
2,부케엘라 카 에티오피아,"[{'id': 31, 'title': '까페시또 데 푸에르토리코'}, {'id': 122, 'title': '멕시코'}, {'id': 147, 'title': '포레스트 푸르트'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 4, 'title': '카라멜리또'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 76, 'title': '디카페인 리스트레또'}, {'id': 79, 'title': '상하이 롱고'}, {'id': 143, 'title': '비안코 레게로'}]"
3,카페 이스탄불,"[{'id': 95, 'title': '알토 오니체'}, {'id': 51, 'title': '하와이 코나'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 22, 'title': '비발토 롱고'}, {'id': 140, 'title': '볼테소'}, {'id': 102, 'title': '코스타리카'}, {'id': 89, 'title': '비엔나 리니지오 롱고'}, {'id': 81, 'title': '타무카 무 짐바브웨'}, {'id': 44, 'title': '에스페란사 데 콜롬비아'}, {'id': 15, 'title': '인피니트 후루티 라즈베리'}]"
4,카라멜리또,"[{'id': 35, 'title': '카라멜 크레임 브륄레'}, {'id': 91, 'title': '디카페인 볼루토'}, {'id': 106, 'title': '더블 에스프레소 스쿠로'}, {'id': 88, 'title': '베네치아'}, {'id': 146, 'title': '엘바조'}, {'id': 76, 'title': '디카페인 리스트레또'}, {'id': 115, 'title': '아이스 레제로'}, {'id': 23, 'title': '디카페인 비발토 롱고'}, {'id': 2, 'title': '부케엘라 카 에티오피아'}, {'id': 37, 'title': '키아로'}]"
5,초콜라티노,"[{'id': 129, 'title': '펌킨 스파이스 케이크 리미티드 에디션'}, {'id': 57, 'title': '재마이카 블루 마운틴'}, {'id': 111, 'title': '하프-카페이나토'}, {'id': 142, 'title': '아플로라지오'}, {'id': 67, 'title': '나폴리'}, {'id': 100, 'title': '카라멜 쿠키'}, {'id': 125, 'title': '오라푸리오'}, {'id': 71, 'title': '파리 에스프레소'}, {'id': 69, 'title': '노베첸토'}, {'id': 85, 'title': '우무티마와 호수 키부 르완다'}]"
6,다르칸,"[{'id': 151, 'title': '디카페나토 인텐소'}, {'id': 68, 'title': '노치올라'}, {'id': 34, 'title': '카프리치오'}, {'id': 61, 'title': '림인하 오버 아이스'}, {'id': 132, 'title': '스토미오'}, {'id': 66, 'title': '니카라과'}, {'id': 145, 'title': '돌체'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 47, 'title': '필터 스타일 밀드'}, {'id': 54, 'title': '인디아'}]"
7,브라질 둘세오,"[{'id': 83, 'title': '트리부트 투 밀라노'}, {'id': 152, 'title': '디카페나토 온투오소'}, {'id': 106, 'title': '더블 에스프레소 스쿠로'}, {'id': 15, 'title': '인피니트 후루티 라즈베리'}, {'id': 36, 'title': '카라멜로'}, {'id': 122, 'title': '멕시코'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 150, 'title': '인텐소 (알토)'}, {'id': 116, 'title': '이니지오'}, {'id': 55, 'title': '인도네시아'}]"
8,엔비보 롱고,"[{'id': 11, 'title': '포레스트 프룻'}, {'id': 46, 'title': '필터 스타일 인텐스'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 139, 'title': '비비다 B12'}, {'id': 102, 'title': '코스타리카'}, {'id': 39, 'title': '코코아 트러플'}, {'id': 23, 'title': '디카페인 비발토 롱고'}, {'id': 28, 'title': '브라질 오가닉'}, {'id': 82, 'title': '도쿄 비발또 롱고'}, {'id': 136, 'title': '토칸토'}]"
9,포레스트 아몬드 플레이버,"[{'id': 46, 'title': '필터 스타일 인텐스'}, {'id': 51, 'title': '하와이 코나'}, {'id': 19, 'title': '로사바야 데 콜롬비아'}, {'id': 149, 'title': '인피니티 더블 에스프레소'}, {'id': 27, 'title': '디카페인 아르페지오'}, {'id': 94, 'title': '알토 암브라토'}, {'id': 143, 'title': '비안코 레게로'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 35, 'title': '카라멜 크레임 브륄레'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}]"
10,포레스트 블랙,"[{'id': 29, 'title': '부에노스 아이레스 롱고'}, {'id': 89, 'title': '비엔나 리니지오 롱고'}, {'id': 136, 'title': '토칸토'}, {'id': 93, 'title': '디카페인 알티시오'}, {'id': 129, 'title': '펌킨 스파이스 케이크 리미티드 에디션'}, {'id': 78, 'title': '스쿠로'}, {'id': 13, 'title': '인드리야'}, {'id': 87, 'title': '바닐라 에클레어'}, {'id': 22, 'title': '비발토 롱고'}, {'id': 25, 'title': '아마하 아웨 우간다'}]"
