2023-03-21 14:35:52\t404\tGET / HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t682
2023-03-21 14:35:53\t404\tGET /favicon.ico HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36\thttp://localhost:8081/\t0:0:0:0:0:0:0:1\t682
2023-03-21 14:36:09\t404\tGET /swagger-ui.html HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t682
2023-03-21 14:36:13\t404\tGET /swagger-ui.html HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t682
2023-03-21 14:36:34\t404\tGET /api/swagger-ui.html HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t89
2023-03-21 16:14:35\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-21 16:15:14\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-21 16:16:58\t404\tGET / HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t682
2023-03-21 16:16:58\t404\tGET /favicon.ico HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\thttp://localhost:8081/\t0:0:0:0:0:0:0:1\t682
2023-03-21 16:17:41\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
2023-03-21 16:19:18\t302\tGET /api/oauth2/authorization/kakao HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Whale/3.19.166.16 Safari/537.36\t-\t0:0:0:0:0:0:0:1\t-
